"Uniprot ID","Symbol","Protein Intensity","Z-Score"
"P25440","BRD2","3.54857","0.758259"
"Q92734","TFG","5.97545","0.758131"
"P55809","OXCT1","5.52067","0.757628"
"Q9BRJ2","MRPL45","4.78066","0.756535"
"O00186","STXBP3","3.56825","0.756516"
"Q9H5X1","CIAO2A","3.79348","0.755719"
"Q7Z5L9","IRF2BP2","3.42116","0.75566"
"Q9BW85","YJU2","2.68193","0.755138"
"P06454","PTMA","7.87792","0.753196"
"Q9UNF1","MAGED2","4.37257","0.752984"
"P12074","COX6A1","3.01335","0.75284"
"O00559","EBAG9","3.88174","0.752826"
"Q07021","C1QBP","7.90304","0.752546"
"P60981","DSTN","6.17782","0.751474"
"Q9BVL4","SELENOO","2.32131","0.751065"
"O75347","TBCA","8.34786","0.751005"
"Q9HCE1","MOV10","3.11056","0.75022"
"P51553","IDH3G","5.8547","0.749334"
"Q96KQ7","EHMT2","3.1659","0.749248"
"O95983","MBD3","3.49168","0.748757"
"P19075","TSPAN8","6.40911","0.748506"
"Q86U86","PBRM1","3.94646","0.748364"
"P37173","TGFBR2","3.86559","0.748292"
"Q5K4L6","SLC27A3","3.90434","0.746984"
"P09622","DLD","7.23902","0.746961"
"Q96DI7","SNRNP40","4.47954","0.746696"
"Q13753","LAMC2","5.175","0.746534"
"Q15435","PPP1R7","4.47253","0.745867"
"Q7LBR1","CHMP1B","5.04513","0.744419"
"O43768","ENSA","4.71262","0.743977"
"Q9BQ95","ECSIT","2.96059","0.743858"
"Q9BUT1","BDH2","3.40395","0.743731"
"Q7Z4S6","KIF21A","2.76643","0.742343"
"Q9BXY0","MAK16","3.33362","0.741898"
"Q13099","IFT88","4.23083","0.741802"
"O95436","SLC34A2","6.36819","0.741302"
"Q9BV36","MLPH","3.86259","0.741176"
"Q13619","CUL4A","2.60486","0.740874"
"Q9UPN6","SCAF8","3.71029","0.740442"
"P26885","FKBP2","7.33254","0.740075"
"Q9BU02","THTPA","2.2346","0.739016"
"Q9BVL2","NUP58","3.77673","0.738414"
"Q8WUB8","PHF10","2.6373","0.737505"
"Q9BRT2","UQCC2","4.69752","0.736233"
"Q9UGM3","DMBT1","4.1271","0.736058"
"Q14BN4","SLMAP","3.30831","0.735958"
"O14578","CIT","2.77732","0.733755"
"O95140","MFN2","3.58476","0.733424"
"Q9H0L4","CSTF2T","3.75761","0.733205"
"Q14318","FKBP8","4.92944","0.733163"
"P13073","COX4I1","7.70781","0.732804"
"P55854","SUMO3","1.88938","0.732437"
"P53618","COPB1","5.16773","0.728547"
"Q969Q5","RAB24","2.78292","0.728048"
"Q15366","PCBP2","8.14489","0.727765"
"P49366","DHPS","3.4406","0.727045"
"Q96HR3","MED30","2.86522","0.727026"
"P09234","SNRPC","5.23336","0.726822"
"Q16822","PCK2","5.89277","0.726716"
"Q08345","DDR1","3.70153","0.726688"
"O43493","TGOLN2","3.93656","0.726259"
"Q969T9","WBP2","4.04838","0.726253"
"Q53HV7","SMUG1","1.08638","0.726173"
"Q9UBW7","ZMYM2","2.01497","0.726107"
"Q02040","AKAP17A","3.99647","0.725923"
"Q9Y2W2","WBP11","5.69451","0.725707"
"P07195","LDHB","9.75076","0.725385"
"P47914","RPL29","8.30366","0.725382"
"Q9Y3T6","R3HCC1","2.17936","0.725046"
"P61218","POLR2F","4.42578","0.724863"
"Q9Y4F4","TOGARAM1","2.6564","0.724133"
"O43933","PEX1","3.1707","0.724076"
"Q8IYB5","SMAP1","2.80921","0.723745"
"P13489","RNH1","6.89338","0.723468"
"Q9NRX4","PHPT1","3.80147","0.723341"
"P25398","RPS12","7.00439","0.723051"
"P07305","H1-0","8.65705","0.722482"
"P62851","RPS25","9.22506","0.722236"
"Q8N2Z9","CENPS","1.79477","0.722179"
"P40939","HADHA","7.46151","0.721413"
"O75494","SRSF10","6.2723","0.72138"
"P06730","EIF4E","5.85044","0.720851"
"Q969H8","MYDGF","6.78047","0.720453"
"Q86Y07","VRK2","2.28946","0.720004"
"Q7Z7F0","KHDC4","2.79957","0.718607"
"Q8WUF5","PPP1R13L","3.54728","0.718333"
"Q00688","FKBP3","7.00173","0.718324"
"O94953","KDM4B","1.70428","0.718146"
"Q9BSD7","NTPCR","4.00859","0.718073"
"P30085","CMPK1","6.23297","0.717796"
"Q4V328","GRIPAP1","3.38329","0.717293"
"Q13618","CUL3","3.69228","0.716031"
"P08865","RPSA","9.03682","0.715553"
"P04899","GNAI2","6.51278","0.715183"
"Q8TDY8","IGDCC4","3.46355","0.714714"
"P28676","GCA","3.8619","0.714708"
"Q2T9J0","TYSND1","1.84888","0.714594"
"Q13155","AIMP2","5.02984","0.714398"
"C9JI98","TMEM238","3.98031","0.714382"
"Q86UE4","MTDH","6.56723","0.713597"
"Q9H773","DCTPP1","5.41494","0.713543"
"Q15746","MYLK","4.58111","0.713135"
"Q14156","EFR3A","6.67759","0.712766"
"P22061","PCMT1","6.44133","0.712645"
"Q99447","PCYT2","3.5728","0.712528"
"Q9BZX2","UCK2","3.53067","0.71244"
"O14802","POLR3A","2.66331","0.711666"
"O75394","MRPL33","2.73636","0.711283"
"P54760","EPHB4","2.88644","0.710567"
"Q9P2R7","SUCLA2","6.08948","0.709632"
"Q15257","PTPA","4.25747","0.709601"
"A0MZ66","SHTN1","3.75826","0.709514"
"P54886","ALDH18A1","6.19149","0.709179"
"Q16795","NDUFA9","4.73017","0.708519"
"Q9NX62","BPNT2","4.17652","0.708463"
"Q9P0J0","NDUFA13","5.77081","0.707462"
"O94826","TOMM70","6.60407","0.70736"
"Q12912","IRAG2","5.64578","0.707352"
"P33176","KIF5B","5.70906","0.707065"
"Q9BUN8","DERL1","4.10107","0.706196"
"Q9Y2X7","GIT1","3.53043","0.706132"
"Q6NW29","RWDD4","2.81886","0.705872"
"P09669","COX6C","7.67653","0.704293"
"Q14678","KANK1","5.08185","0.704136"
"Q9NR19","ACSS2","2.11088","0.703733"
"P55263","ADK","3.98217","0.703498"
"P0C7P0","CISD3","2.94888","0.702756"
"Q86YS7","C2CD5","2.84877","0.702227"
"P16220","CREB1","3.1909","0.701655"
"O14625","CXCL11","3.68476","0.70153"
"Q92615","LARP4B","3.83803","0.701425"
"Q9BYW2","SETD2","2.31269","0.70064"
"Q8TB36","GDAP1","3.13278","0.699229"
"A6NDG6","PGP","4.34866","0.698933"
"P20020","ATP2B1","3.94239","0.698678"
"Q15542","TAF5","1.53269","0.698488"
"P78358","CTAG1B","3.88454","0.69832"
"P78358","CTAG1A","3.88454","0.69832"
"Q8IX12","CCAR1","5.40268","0.698315"
"Q86VP6","CAND1","5.8507","0.69798"
"Q96G46","DUS3L","3.17789","0.697033"
"P33121","ACSL1","3.80526","0.695785"
"Q16576","RBBP7","4.44462","0.695747"
"O00754","MAN2B1","4.50817","0.695323"
"Q8IWR0","ZC3H7A","2.53781","0.695268"
"P19440","GGT1","3.92073","0.695109"
"O75607","NPM3","4.62113","0.694841"
"P50897","PPT1","5.57924","0.694"
"Q14241","ELOA","2.5876","0.693852"
"Q5T0N5","FNBP1L","2.79439","0.693847"
"P41227","NAA10","3.75638","0.692682"
"Q99828","CIB1","3.58012","0.691925"
"Q3KQZ1","SLC25A35","5.20955","0.691134"
"O00299","CLIC1","8.61242","0.690951"
"Q6ZVM7","TOM1L2","3.6294","0.690138"
"Q86VM9","ZC3H18","4.87775","0.68992"
"P49643","PRIM2","2.68326","0.689662"
"P35221","CTNNA1","6.57625","0.689524"
"Q9BW72","HIGD2A","4.04006","0.688467"
"P17480","UBTF","5.56666","0.688354"
"Q8NDT2","RBM15B","3.22185","0.687791"
"Q9BPW8","NIPSNAP1","4.72072","0.687633"
"P61254","RPL26","3.99592","0.687416"
"Q9Y2S7","POLDIP2","4.72856","0.687372"
"Q9Y375","NDUFAF1","2.72434","0.687055"
"Q9NYB0","TERF2IP","3.80166","0.68595"
"Q8N4H5","TOMM5","5.33995","0.685824"
"Q96B18","DACT3","4.09243","0.685775"
"Q9NX40","OCIAD1","6.6853","0.685516"
"P46778","RPL21","7.08123","0.68446"
"Q9H0E9","BRD8","2.57474","0.684365"
"Q52LJ0","FAM98B","3.83897","0.683076"
"Q15843","NEDD8","6.19668","0.682981"
"Q96KF7","SMIM8","3.28842","0.68293"
"Q16763","UBE2S","4.17339","0.682794"
"Q9UNZ5","C19orf53","5.12071","0.682528"
"O14841","OPLAH","3.02974","0.681416"
"Q96IJ6","GMPPA","2.57139","0.681078"
"P61960","UFM1","6.33709","0.680469"
"Q5SSJ5","HP1BP3","6.59014","0.679973"
"P49789","FHIT","2.46278","0.679648"
"Q14966","ZNF638","4.65595","0.679227"
"O14681","EI24","4.62182","0.679217"
"Q9HA77","CARS2","3.67714","0.679031"
"P98173","FAM3A","2.64901","0.678809"
"Q9NTJ5","SACM1L","4.32017","0.678664"
"P43146","DCC","2.20245","0.6777"
"O75449","KATNA1","2.77806","0.677635"
"O95251","KAT7","2.34038","0.67684"
"Q11201","ST3GAL1","2.18579","0.676507"
"O15042","U2SURP","6.74354","0.675416"
"Q8N1F8","STK11IP","2.12536","0.675395"
"Q9Y6K1","DNMT3A","2.44719","0.675268"
"P05026","ATP1B1","5.80951","0.67511"
"Q16850","CYP51A1","3.7683","0.674435"
"P55265","ADAR","6.49806","0.673904"
"O95453","PARN","2.80444","0.673064"
"Q9HC38","GLOD4","5.55143","0.672999"
"P83881","RPL36A","5.44538","0.672924"
"Q5VYS8","TUT7","4.85431","0.672433"
"Q969E8","TSR2","2.85688","0.672004"
"Q9UMX5","NENF","5.58453","0.671756"
"Q8NHZ8","CDC26","1.7758","0.671388"
"Q6IQ22","RAB12","2.28302","0.670977"
"Q92905","COPS5","3.82497","0.669773"
"Q14CX7","NAA25","2.63891","0.669543"
"Q9Y2W6","TDRKH","3.21214","0.669462"
"Q9GZR2","REXO4","3.61096","0.669169"
"O75127","PTCD1","3.0895","0.668684"
"Q5VTR2","RNF20","3.46183","0.667908"
"Q9UI30","TRMT112","6.34367","0.667489"
"Q6Q4G3","LVRN","3.19317","0.667311"
"P62857","RPS28","7.96466","0.666478"
"Q9Y282","ERGIC3","4.37284","0.665703"
"A6NHL2","TUBAL3","4.70134","0.665612"
"Q8WTS6","SETD7","3.09946","0.665098"
"Q13111","CHAF1A","2.94435","0.664985"
"Q05D32","CTDSPL2","3.67577","0.6645"
"O60264","SMARCA5","5.14122","0.6645"
"Q8NI08","NCOA7","3.51232","0.663937"
"Q9P0S2","COX16","2.50692","0.662441"
"Q92804","TAF15","4.91002","0.66243"
"Q86U44","METTL3","2.69049","0.662333"
"P43034","PAFAH1B1","5.2691","0.662196"
"P12882","MYH1","5.37755","0.6602"
"Q8NFW8","CMAS","4.08998","0.659828"
"P51157","RAB28","8.76398","0.659751"
"Q9BZQ6","EDEM3","2.51597","0.659553"
"O14657","TOR1B","3.4942","0.659141"
"Q15022","SUZ12","3.01384","0.658908"
"P35249","RFC4","5.43751","0.657604"
"P16930","FAH","4.29275","0.657534"
"Q9NWU2","GID8","2.63087","0.657063"
"Q9NQ50","MRPL40","4.56558","0.656454"
"P14854","COX6B1","5.04605","0.655544"
"Q6ZRP7","QSOX2","4.39697","0.655404"
"Q8WYA6","CTNNBL1","4.82713","0.654761"
"Q96L91","EP400","2.49817","0.654698"
"Q8N4S9","MARVELD2","2.01287","0.654477"
"Q9Y3B6","EMC9","2.26142","0.653585"
"Q14542","SLC29A2","2.99576","0.652925"
"Q6UN15","FIP1L1","5.772","0.652868"
"P10109","FDX1","4.6466","0.652369"
"P52815","MRPL12","7.38927","0.652168"
"P08758","ANXA5","7.77401","0.651821"
"Q8IZH2","XRN1","2.38359","0.650731"
"Q4U2R6","MRPL51","2.11381","0.650532"
"Q86UA1","PRPF39","2.43167","0.650412"
"Q99729","HNRNPAB","8.31854","0.650336"
"Q9HBH1","PDF","3.96962","0.650214"
"Q5VWN6","TASOR2","2.36891","0.649918"
"Q6PH81","C16orf87","3.26775","0.64966"
"O75554","WBP4","1.75176","0.649464"
"Q9UN37","VPS4A","4.73683","0.648935"
"P22626","HNRNPA2B1","10.5376","0.648803"
"P15848","ARSB","3.16342","0.647356"
"O43488","AKR7A2","3.62009","0.647248"
"Q96GF1","RNF185","4.14379","0.646707"
"Q9NP72","RAB18","6.2267","0.646321"
"P55735","SEC13","4.03233","0.645858"
"Q12816","TRO","3.73415","0.645572"
"O75937","DNAJC8","5.26827","0.645253"
"P08708","RPS17","6.99803","0.644843"
"Q9UQN3","CHMP2B","4.26046","0.644048"
"Q99715","COL12A1","4.45171","0.643882"
"Q9Y3B3","TMED7","4.94293","0.643804"
"Q15181","PPA1","8.19082","0.642891"
"Q8WXI9","GATAD2B","4.26061","0.642709"
"Q16540","MRPL23","5.50437","0.641607"
"Q969S9","GFM2","3.56101","0.641429"
"O95785","WIZ","3.24217","0.640261"
"P46531","NOTCH1","2.90754","0.640254"
"Q6P1N0","CC2D1A","3.7311","0.639464"
"P55084","HADHB","7.79572","0.639131"
"Q9P013","CWC15","4.22771","0.638902"
"O95159","ZFPL1","5.52428","0.638727"
"Q7Z7K0","CMC1","2.34575","0.638632"
"P40937","RFC5","3.77728","0.637544"
"O60783","MRPS14","3.63338","0.637273"
"Q6PJG6","BRAT1","2.76386","0.635626"
"O75764","TCEA3","2.54685","0.635307"
"A0A0B4J2F0","PIGBOS1","2.07467","0.635216"
"Q9UMD9","COL17A1","5.47084","0.635199"
"P62875","POLR2L","5.00193","0.635154"
"Q14157","UBAP2L","5.69874","0.63475"
"P20933","AGA","3.13625","0.634023"
"Q8IY17","PNPLA6","3.82111","0.633757"
"Q9BWM7","SFXN3","5.45641","0.633578"
"Q9BT78","COPS4","5.01836","0.632682"
"Q8N4Q0","ZADH2","3.13135","0.632482"
"Q9UBV2","SEL1L","3.90878","0.63071"
"Q96MC4","CEP295NL","4.79439","0.630108"
"Q9UNK0","STX8","3.23347","0.629969"
"P61353","RPL27","7.06516","0.629806"
"Q9Y6D9","MAD1L1","3.93095","0.629597"
"Q99523","SORT1","3.74871","0.629397"
"Q10472","GALNT1","2.82029","0.629064"
"O94905","ERLIN2","4.66705","0.629019"
"O95025","SEMA3D","3.24906","0.628967"
"Q9H6F5","CCDC86","4.48684","0.628158"
"Q07020","RPL18","7.17123","0.627464"
"P50416","CPT1A","5.3976","0.626729"
"Q8IVD9","NUDCD3","3.54009","0.626682"
"Q9HBK9","AS3MT","2.49393","0.626025"
"Q96B26","EXOSC8","3.76385","0.625907"
"Q92522","H1-10","6.24707","0.624141"
"Q86U28","ISCA2","3.73038","0.62375"
"P20839","IMPDH1","4.61581","0.62371"
"Q9HC52","CBX8","3.53893","0.623275"
"O15173","PGRMC2","6.78152","0.622584"
"P13224","GP1BB","3.04808","0.622368"
"P84090","ERH","5.18659","0.621864"
"O76094","SRP72","4.06735","0.621295"
"Q15418","RPS6KA1","2.24938","0.621287"
"Q9H2H8","PPIL3","3.70884","0.620631"
"Q6PKG0","LARP1","5.56164","0.619997"
"Q99933","BAG1","3.00664","0.619924"
"Q93084","ATP2A3","5.52729","0.619291"
"O95171","SCEL","3.78372","0.61866"
"Q14134","TRIM29","6.12093","0.618419"
"Q15054","POLD3","3.08958","0.618168"
"Q9Y673","ALG5","3.42918","0.617968"
"Q9HBL7","PLGRKT","3.40526","0.617955"
"Q9GZZ9","UBA5","3.53028","0.617904"
"Q9NVM6","DNAJC17","2.76147","0.617098"
"P25490","YY1","2.43948","0.615912"
"O43824","GTPBP6","1.83349","0.61578"
"Q99547","MPHOSPH6","3.45406","0.615591"
"P08123","COL1A2","6.58963","0.614795"
"Q9H9Q2","COPS7B","3.68171","0.614788"
"Q13356","PPIL2","1.86848","0.614021"
"Q9Y6A4","CFAP20","3.36849","0.613052"
"Q15397","PUM3","4.46363","0.612622"
"Q9H2G2","SLK","3.69518","0.611792"
"Q9UEU0","VTI1B","3.84175","0.611412"
"P11498","PC","5.03468","0.61136"
"Q9BY43","CHMP4A","3.1012","0.609907"
"Q9Y303","AMDHD2","3.15765","0.609867"
"Q9NWW5","CLN6","2.97017","0.609466"
"Q9H009","NACA2","4.88768","0.609461"
"Q96E29","MTERF3","2.34296","0.608049"
"Q14108","SCARB2","5.38471","0.607761"
"Q96TC7","RMDN3","4.64176","0.607589"
"Q9BTE7","DCUN1D5","2.49339","0.607218"
"Q96B36","AKT1S1","3.91052","0.605981"
"O75251","NDUFS7","4.70461","0.605278"
"Q8WXF7","ATL1","3.88706","0.605072"
"P40855","PEX19","3.58821","0.604782"
"Q9Y3B9","RRP15","4.50634","0.604505"
"O95772","STARD3NL","3.03331","0.603102"
"Q6UX06","OLFM4","3.6585","0.602733"
"Q9P0W2","HMG20B","2.26958","0.602541"
"Q07820","MCL1","2.86402","0.602409"
"A4D1E9","GTPBP10","2.96378","0.602354"
"Q8NC51","SERBP1","6.34866","0.602228"
"P62937","PPIA","10.6873","0.60138"
"Q96BK5","PINX1","2.48825","0.601365"
"O75208","COQ9","3.51369","0.601085"
"P82663","MRPS25","3.31384","0.60072"
"P53992","SEC24C","3.62116","0.599829"
"Q9GZU7","CTDSP1","2.35457","0.599741"
"P08243","ASNS","4.30597","0.598833"
"P62899","RPL31","8.82015","0.598646"
"P11137","MAP2","4.45951","0.598278"
"Q9H8M7","MINDY3","2.53696","0.598158"
"Q7Z2W4","ZC3HAV1","4.87761","0.598151"
"Q49A26","GLYR1","3.74813","0.597976"
"Q8N142","ADSS1","2.70854","0.597695"
"Q5VV41","ARHGEF16","2.92327","0.597558"
"Q15185","PTGES3","8.12896","0.597473"
"Q92879","CELF1","5.28657","0.597205"
"Q8IZP0","ABI1","3.95149","0.595436"
"Q96D53","COQ8B","2.76982","0.595176"
"O00483","NDUFA4","5.93067","0.594692"
"Q9NW13","RBM28","4.5685","0.594156"
"Q9HC84","MUC5B","3.96969","0.593106"
"Q8IXQ3","C9orf40","2.45312","0.592371"
"Q8WV22","NSMCE1","2.55921","0.592309"
"Q8WVJ2","NUDCD2","4.72669","0.591918"
"Q8WXX5","DNAJC9","5.12892","0.591356"
"Q96DB5","RMDN1","3.50691","0.590863"
"Q8IZT6","ASPM","4.30324","0.590575"
"Q9HAF1","MEAF6","3.43101","0.590235"
"P26232","CTNNA2","4.46396","0.590031"
"Q8TEA8","DTD1","4.88519","0.587989"
"P84085","ARF5","3.8685","0.587465"
"Q6IPR1","ETFRF1","2.17433","0.586464"
"P51858","HDGF","6.17804","0.586206"
"O43583","DENR","5.95194","0.586185"
"P50213","IDH3A","6.16443","0.586171"
"Q8WXA3","RUFY2","1.97355","0.585902"
"Q96E14","RMI2","2.56143","0.585493"
"P83436","COG7","2.81797","0.5852"
"Q8IUE6","H2AC21","8.63937","0.584612"
"Q13190","STX5","3.79167","0.583475"
"Q7L590","MCM10","3.90432","0.583088"
"Q8N954","GPATCH11","2.52956","0.58254"
"Q9NSD9","FARSB","6.08974","0.582427"
"Q9HCH5","SYTL2","2.96584","0.581881"
"P62879","GNB2","6.20565","0.581615"
"Q8WVQ1","CANT1","3.36051","0.581578"
"Q9BS40","LXN","3.38718","0.581573"
"Q9H5H4","ZNF768","2.75445","0.581208"
"Q99747","NAPG","3.96517","0.580519"
"P24752","ACAT1","7.66592","0.580329"
"Q9UBB9","TFIP11","2.92434","0.580242"
"Q9Y2Y4","ZBTB32","3.08031","0.579749"
"Q13330","MTA1","3.10059","0.579621"
"P40925","MDH1","8.34509","0.578999"
"Q9H2V7","SPNS1","2.82495","0.578889"
"Q96SU4","OSBPL9","3.38578","0.578439"
"P28482","MAPK1","5.36467","0.578254"
"P05386","RPLP1","8.9981","0.577735"
"P01042","KNG1","4.77949","0.577513"
"Q92989","CLP1","2.92056","0.577397"
"P06746","POLB","3.83594","0.57511"
"P55209","NAP1L1","7.97995","0.574886"
"P49321","NASP","7.83251","0.574799"
"P21266","GSTM3","3.88195","0.574799"
"Q9BXS6","NUSAP1","3.64617","0.574017"
"Q4KMG0","CDON","3.6565","0.573783"
"Q9P015","MRPL15","4.28148","0.572213"
"Q99459","CDC5L","6.14203","0.572162"
"Q6P4R8","NFRKB","1.38599","0.571385"
"Q96KC8","DNAJC1","3.31303","0.571069"
"Q9H7N4","SCAF1","3.73512","0.570811"
"Q96GC5","MRPL48","3.7527","0.570354"
"P10176","COX8A","4.00569","0.570161"
"Q8IXB1","DNAJC10","3.30511","0.570125"
"Q9BWU0","SLC4A1AP","3.57239","0.569782"
"Q9BQG0","MYBBP1A","5.39584","0.569532"
"Q9HAV7","GRPEL1","6.76081","0.569445"
"Q9UHK0","NUFIP1","2.9274","0.56941"
"Q8NFF5","FLAD1","3.26738","0.568701"
"Q8IV38","ANKMY2","1.65171","0.568002"
"Q8N7X0","ADGB","3.43957","0.567065"
"Q8IYQ7","THNSL1","2.80789","0.567053"
"P04035","HMGCR","3.53058","0.567032"
"Q16774","GUK1","4.30088","0.566567"
"O14773","TPP1","5.95073","0.565451"
"P61916","NPC2","5.29839","0.56484"
"O75787","ATP6AP2","4.00716","0.564727"
"Q96HA7","TONSL","1.83771","0.564469"
"Q8IYT4","KATNAL2","7.77233","0.563733"
"Q04656","ATP7A","2.3937","0.563549"
"P16949","STMN1","8.3925","0.563373"
"Q6UXG2","ELAPOR1","3.89717","0.563148"
"Q9UKV3","ACIN1","6.16282","0.562735"
"Q9Y5L4","TIMM13","5.70311","0.561813"
"O15397","IPO8","2.35354","0.560995"
"Q8WXC6","COPS9","2.08968","0.560767"
"P62753","RPS6","8.07251","0.560708"
"Q9HC36","MRM3","3.10585","0.560226"
"Q9BTC8","MTA3","2.82794","0.55928"
"P53621","COPA","6.11751","0.558941"
"Q8TD08","MAPK15","4.73445","0.557694"
"P63220","RPS21","9.05398","0.557544"
"Q96ST3","SIN3A","4.00664","0.557318"
"Q9UBI1","COMMD3","2.63916","0.557267"
"Q14566","MCM6","6.15412","0.556351"
"O75940","SMNDC1","4.00149","0.556044"
"P30041","PRDX6","8.34768","0.555796"
"Q9UPQ9","TNRC6B","1.64394","0.55576"
"Q9UIA9","XPO7","2.82404","0.555642"
"P62273","RPS29","7.12323","0.555505"
"Q9NRG0","CHRAC1","5.68853","0.554442"
"P18621","RPL17","6.68094","0.554223"
"Q92945","KHSRP","8.20026","0.553406"
"Q9Y3Y2","CHTOP","3.89674","0.553247"
"P55327","TPD52","5.34392","0.553072"
"O75131","CPNE3","4.15726","0.553004"
"P19634","SLC9A1","2.4075","0.552368"
"O75531","BANF1","7.741","0.552055"
"P12268","IMPDH2","7.74235","0.551638"
"P0CG12","CHTF8","3.87407","0.551485"
"A2RRH5","WDR27","3.18072","0.54911"
"P18583","SON","5.99322","0.548946"
"Q4G0P3","HYDIN","7.77318","0.548298"
"Q9Y6W3","CAPN7","4.91109","0.548169"
"Q9UHR5","SAP30BP","4.16421","0.548084"
"Q96GK7","FAHD2A","3.91479","0.547744"
"Q13601","KRR1","4.69655","0.54624"
"E9PAV3","NACA","5.92946","0.544699"
"Q15008","PSMD6","4.12484","0.544668"
"Q15390","MTFR1","2.46694","0.544156"
"O00264","PGRMC1","7.81304","0.543861"
"Q8IYL3","C1orf174","1.67765","0.543852"
"P48634","PRRC2A","4.0014","0.543677"
"P61923","COPZ1","5.33254","0.543162"
"O75179","ANKRD17","2.52677","0.542759"
"Q15056","EIF4H","6.35428","0.542714"
"Q86VI3","IQGAP3","3.29138","0.542481"
"O75663","TIPRL","4.05163","0.541776"
"Q8WUH6","TMEM263","4.36788","0.541188"
"P98179","RBM3","6.3191","0.541049"
"Q8NFH3","NUP43","4.21891","0.540782"
"Q9Y3A5","SBDS","5.2377","0.540586"
"Q7Z6R9","TFAP2D","3.80274","0.5397"
"Q02818","NUCB1","5.47675","0.53936"
"Q9Y2D4","EXOC6B","2.41929","0.538963"
"Q96LJ7","DHRS1","3.11317","0.53839"
"Q66K14","TBC1D9B","2.02011","0.538378"
"Q86TP1","PRUNE1","2.64255","0.538025"
"O60831","PRAF2","5.3416","0.53798"
"Q13613","MTMR1","2.13194","0.537969"
"Q9UJC5","SH3BGRL2","2.12665","0.537602"
"Q2TAA5","ALG11","2.69705","0.536635"
"Q13572","ITPK1","3.27286","0.536611"
"P50583","NUDT2","3.241","0.536289"
"Q14152","EIF3A","6.17789","0.535907"
"O43148","RNMT","3.89321","0.535905"
"P50151","GNG10","3.66104","0.535786"
"Q86WX3","RPS19BP1","3.35779","0.535446"
"O95486","SEC24A","3.6317","0.535199"
"Q8NB90","SPATA5","2.56111","0.534545"
"Q8NBM8","PCYOX1L","2.70407","0.534506"
"O75153","CLUH","4.12159","0.533702"
"Q5SXM8","DNLZ","2.55058","0.533474"
"Q96EP5","DAZAP1","6.12574","0.533002"
"P39748","FEN1","6.42457","0.532167"
"Q9P2K3","RCOR3","2.43768","0.532067"
"Q8TEY7","USP33","2.10799","0.531815"
"O43278","SPINT1","4.79519","0.531668"
"P54727","RAD23B","7.07445","0.531642"
"Q9H0E3","SAP130","3.58996","0.53164"
"P35237","SERPINB6","5.44188","0.531468"
"P27824","CANX","8.705","0.531269"
"A6NHR9","SMCHD1","3.96825","0.530709"
"P62277","RPS13","8.4277","0.530702"
"Q6ZU65","UBN2","2.50921","0.530226"
"Q9UER7","DAXX","3.16493","0.530088"
"P49590","HARS2","3.83454","0.529824"
"Q8WWQ0","PHIP","3.69164","0.52969"
"O75616","ERAL1","3.97488","0.529018"
"Q15365","PCBP1","8.17429","0.528917"
"Q969S3","ZNF622","4.03215","0.5287"
"P55196","AFDN","4.71358","0.528419"
"P55795","HNRNPH2","4.83363","0.527623"
"P39019","RPS19","7.91551","0.526997"
"Q9BY32","ITPA","4.68584","0.526647"
"P17050","NAGA","3.70947","0.526421"
"Q9BV68","RNF126","3.09259","0.525469"
"Q96KP4","CNDP2","5.8031","0.525372"
"O14662","STX16","4.25991","0.524677"
"P28288","ABCD3","4.74406","0.524652"
"P61247","RPS3A","8.32754","0.52448"
"Q9NRL3","STRN4","2.63912","0.523767"
"P49006","MARCKSL1","6.52204","0.523618"
"Q01484","ANK2","3.63586","0.523189"
"O00471","EXOC5","2.43659","0.522916"
"O75608","LYPLA1","5.41948","0.522577"
"P49411","TUFM","8.91531","0.521721"
"Q15075","EEA1","4.30563","0.521426"
"Q96HQ2","CDKN2AIPNL","3.60648","0.520353"
"Q9H3K6","BOLA2B","6.34786","0.518027"
"Q9H3K6","BOLA2","6.34786","0.518027"
"Q9P2K5","MYEF2","4.32285","0.517804"
"O43447","PPIH","5.08264","0.517703"
"Q9H6T0","ESRP2","2.52237","0.517603"
"Q7Z7H8","MRPL10","4.29079","0.517193"
"O43837","IDH3B","5.22816","0.516872"
"Q9GZP4","PITHD1","4.27534","0.516681"
"O60684","KPNA6","3.86558","0.516293"
"P58397","ADAMTS12","3.36523","0.515627"
"Q99081","TCF12","2.75292","0.515342"
"P61964","WDR5","3.83186","0.515164"
"Q9NX20","MRPL16","3.12968","0.513599"
"Q53GA4","PHLDA2","2.98025","0.513481"
"Q96C36","PYCR2","4.59023","0.513086"
"Q8N6N3","C1orf52","2.4453","0.512914"
"Q8N1B4","VPS52","2.11924","0.512304"
"P61970","NUTF2","7.29921","0.512281"
"Q08117","TLE5","2.73527","0.512188"
"Q9Y399","MRPS2","4.71742","0.512051"
"Q9P2W9","STX18","2.61003","0.512014"
"Q8WYP5","AHCTF1","3.9269","0.511504"
"P47736","RAP1GAP","1.32892","0.511471"
"Q9Y3A2","UTP11","3.0305","0.511232"
"Q5BKZ1","ZNF326","4.96325","0.511192"
"Q9P1Z2","CALCOCO1","1.63435","0.510924"
"Q00403","GTF2B","3.71482","0.510743"
"Q6ZUT9","DENND5B","5.17446","0.510683"
"O75976","CPD","4.89024","0.509207"
"Q6NUQ4","TMEM214","3.56066","0.508999"
"P61981","YWHAG","7.69116","0.508848"
