"Uniprot ID","Symbol","Protein Intensity","Z-Score"
"Q9Y3B7","MRPL11","5.88875","1.68118"
"Q13884","SNTB1","5.09043","1.68025"
"O15446","POLR1G","5.60075","1.67078"
"Q8WWX9","SELENOM","4.0957","1.67018"
"Q8TC12","RDH11","5.32375","1.66877"
"P63313","TMSB10","9.01963","1.66863"
"P20962","PTMS","8.78089","1.66309"
"Q9HCM7","FBRSL1","2.8773","1.66178"
"Q8TCU6","PREX1","4.94966","1.65536"
"P11310","ACADM","7.54795","1.65308"
"Q9Y244","POMP","4.45149","1.65289"
"P61966","AP1S1","3.56615","1.64871"
"P09417","QDPR","5.06295","1.64526"
"O75382","TRIM3","3.64479","1.64474"
"Q9BSJ8","ESYT1","7.00392","1.64405"
"Q9NUJ1","ABHD10","6.47712","1.64405"
"Q9HCN8","SDF2L1","4.34076","1.64222"
"Q6UW68","TMEM205","5.45118","1.64212"
"Q14667","KIAA0100","8.57942","1.64185"
"P55317","FOXA1","4.01233","1.6306"
"Q9UKU7","ACAD8","3.81253","1.62772"
"P22059","OSBP","4.62273","1.62186"
"P23786","CPT2","4.70776","1.62021"
"Q07954","LRP1","5.50266","1.61971"
"Q9P2D3","HEATR5B","2.57092","1.61712"
"P45973","CBX5","7.28331","1.61436"
"Q8WYQ5","DGCR8","3.08459","1.61362"
"Q9BRQ6","CHCHD6","5.16948","1.61226"
"P21912","SDHB","7.431","1.61165"
"P51153","RAB13","4.92416","1.60585"
"Q6P4F2","FDX2","3.81857","1.60524"
"Q6P4E1","GOLM2","4.73264","1.5992"
"Q9UMZ2","SYNRG","3.41804","1.59591"
"B2RXH2","KDM4E","3.43743","1.59588"
"Q6SJ93","FAM111B","3.55119","1.59545"
"O95178","NDUFB2","5.66571","1.59348"
"Q03001","DST","4.73229","1.59159"
"Q9NPJ6","MED4","3.93295","1.59144"
"Q14746","COG2","3.22083","1.58503"
"Q5VT52","RPRD2","4.02148","1.5842"
"P35270","SPR","5.12156","1.58416"
"Q96EE4","CCDC126","3.39322","1.58316"
"P16989","YBX3","6.06314","1.57572"
"O94760","DDAH1","5.46959","1.5753"
"Q9UGT4","SUSD2","5.67478","1.57356"
"P28161","GSTM2","4.22433","1.57262"
"P37268","FDFT1","6.45666","1.56904"
"Q9BYC9","MRPL20","3.76514","1.56779"
"O15382","BCAT2","4.69353","1.56554"
"O14561","NDUFAB1","4.83288","1.56347"
"Q9Y3E2","BOLA1","4.31136","1.55973"
