Uniprot ID,Symbol,Protein Intensity,Prot_Z_Score,read_count,fpkm,tpm,driver gene method_of_action
Q9P270,SLAIN2,3.14999,1.41241,10376,25.97,94.35,
Q8N5K1,CISD2,6.04977,1.41083,4578,28.67,104.16,
O43464,HTRA2,5.09489,1.41026,2457,13.37,48.57,LoF
Q9HD26,GOPC,4.27364,1.40975,5648,18.4,66.85,fusion
Q5RI15,COX20,4.29208,1.40582,1344,4.51,16.38,
Q9H6V9,LDAH,3.9356,1.40541,5,0.02,0.07,
Q96ER9,CCDC51,3.92504,1.40426,2010,13.62,49.48,
Q15388,TOMM20,7.03667,1.40365,35743,164.78,598.65,
Q9H0U9,TSPYL1,5.00477,1.40268,9716,47.7,173.3,
Q9UL25,RAB21,5.48855,1.4019,8393,8.55,31.06,
P09172,DBH,4.61239,1.40068,5,0.03,0.11,
Q9NX05,FAM120C,3.98143,1.39917,1997,3.71,13.48,
Q9Y676,MRPS18B,4.51925,1.39914,7231,62.54,227.21,
P61457,PCBD1,6.88238,1.39888,5095,51.55,187.28,
P32119,PRDX2,9.72274,1.39876,22507,175.59,637.92,
Q16718,NDUFA5,6.62933,1.39832,13354,22.14,80.43,
Q9Y6G3,MRPL42,3.2329,1.39632,20667,20.59,74.8,
O75150,RNF40,4.21525,1.39514,6064,15.18,55.15,
Q969Y2,GTPBP3,4.02657,1.39489,5656,20.38,74.04,
Q6L8Q7,PDE12,4.94931,1.39287,5162,9.42,34.22,
Q4G0J3,LARP7,5.61646,1.39261,5239,20.95,76.11,
Q3LXA3,TKFC,4.56976,1.38941,4623,9.19,33.39,
Q13610,PWP1,5.47178,1.38761,6289,35.71,129.74,
Q71RC2,LARP4,4.50971,1.3862,17228,34.68,125.99,
Q9Y5J9,TIMM8B,5.65489,1.38431,2496,34.96,127.01,
Q08188,TGM3,5.66666,1.38137,13,0.08,0.29,
Q9Y5S9,RBM8A,6.24149,1.38117,18414,57.37,208.43,
P20783,NTF3,4.60121,1.3797,6,0.03,0.11,
Q8WVK2,SNRNP27,4.53124,1.37678,1657,11.89,43.2,
P82909,MRPS36,5.52165,1.37335,1680,17.93,65.14,
P80303,NUCB2,6.46955,1.3728,7745,14.06,51.08,
P45974,USP5,6.69896,1.37217,15360,67.1,243.78,
O95777,LSM8,6.93988,1.37108,5207,13.69,49.74,
P25705,ATP5F1A,11.1183,1.37074,64077,95.92,348.48,
P19367,HK1,7.35442,1.36658,13798,37.1,134.79,
O60701,UGDH,6.90919,1.36654,15332,61.89,224.85,
Q9NRY5,FAM114A2,4.02036,1.36606,2490,6.21,22.56,
Q06210,GFPT1,5.28781,1.36536,9649,17.77,64.56,
Q00169,PITPNA,3.73458,1.36515,10884,37.15,134.97,
Q9BQ48,MRPL34,4.00894,1.36419,1537,14.89,54.1,
Q8TBP5,FAM174A,4.02688,1.364,928,10.7,38.87,
P45954,ACADSB,5.18913,1.36011,3674,9.59,34.84,
Q8IZ73,RPUSD2,2.12487,1.35917,860,5.66,20.56,
Q5T1V6,DDX59,2.62286,1.35871,3431,12.53,45.52,
Q9NSU2,TREX1,3.59644,1.35859,96,0.33,1.2,
Q96AQ8,MCUR1,2.73049,1.35776,5105,13.76,49.99,
Q6P1J9,CDC73,4.87351,1.35625,8151,24.87,90.35,LoF
Q9ULD0,OGDHL,5.83511,1.35555,571,1.63,5.92,
P04040,CAT,6.5358,1.35515,6671,32.55,118.26,
Q86T03,PIP4P1,3.53233,1.35475,2814,12.08,43.89,
Q3B726,POLR1F,3.64157,1.35427,6903,28.2,102.45,
Q3B726,POLR1F,3.64157,1.35427,6903,28.2,102.45,
Q3B726,POLR1F,3.64157,1.35427,6903,28.2,102.45,
Q8NI77,KIF18A,3.07176,1.35367,2027,7.09,25.76,
A5PL33,KRBA1,5.71592,1.35333,588,1.8,6.54,
Q9H082,RAB33B,4.62657,1.35088,2021,6.56,23.83,
Q13405,MRPL49,5.22684,1.34937,6934,36.76,133.55,
P30086,PEBP1,8.99947,1.34912,23953,219.74,798.32,
O60763,USO1,5.69005,1.3488,13059,46.48,168.86,
Q99942,RNF5,4.78674,1.34762,3475,48.17,175.0,
O95182,NDUFA7,5.1041,1.34759,365,4.22,15.33,
P48645,NMU,3.47605,1.34512,1006,16.85,61.22,
O94842,TOX4,4.25113,1.34113,4456,10.26,37.27,
Q04726,TLE3,3.46383,1.34113,9285,12.0,43.6,
P41219,PRPH,6.91133,1.34045,219,0.82,2.98,
Q96CN9,GCC1,2.78533,1.3403,2808,9.19,33.39,
P30038,ALDH4A1,5.47486,1.33792,1699,7.52,27.32,
O75380,NDUFS6,5.58003,1.33769,2109,23.73,86.21,
Q9BRX5,GINS3,4.0746,1.33764,3879,12.41,45.09,
O14874,BCKDK,3.40524,1.33601,3017,12.72,46.21,
Q9Y618,NCOR2,3.43424,1.33345,6349,7.42,26.96,ambiguous
P17174,GOT1,6.24526,1.33053,9667,65.12,236.58,
Q8NBJ7,SUMF2,5.44276,1.32983,16576,66.0,239.78,
Q4VXU2,PABPC1L,5.39985,1.32969,6166,20.2,73.39,
P82930,MRPS34,5.10363,1.32896,2606,38.79,140.92,
Q9H1Z4,WDR13,3.10948,1.32887,3543,7.34,26.67,
P61201,COPS2,4.20163,1.32837,6009,13.07,47.48,
P23284,PPIB,10.2216,1.3282,16848,143.96,523.01,
P42126,ECI1,6.45326,1.3265,5208,26.3,95.55,
Q15102,PAFAH1B3,8.01548,1.32612,3851,44.32,161.02,
Q9UII2,ATP5IF1,6.48574,1.32575,5278,38.73,140.71,
Q6NZY4,ZCCHC8,4.45913,1.32438,4211,7.91,28.74,
O43819,SCO2,4.15598,1.32428,1454,17.44,63.36,
Q9BYC8,MRPL32,2.97813,1.32246,5607,25.91,94.13,
P10606,COX5B,9.54272,1.31984,3352,37.98,137.98,
Q9BQ61,TRIR,5.32461,1.31799,2676,31.17,113.24,
Q13438,OS9,3.77635,1.31744,12495,39.47,143.4,
O75446,SAP30,3.1581,1.31726,3079,38.09,138.38,
Q99700,ATXN2,2.87267,1.317,6142,7.2,26.16,
Q9H1B5,XYLT2,4.48183,1.31658,1054,3.15,11.44,
O00193,C11orf58,3.08082,1.31628,13227,24.9,90.46,
P51649,ALDH5A1,5.71915,1.31616,3381,9.99,36.29,
Q86TS9,MRPL52,4.14315,1.31572,1905,9.68,35.17,
Q96GA7,SDSL,3.42777,1.31559,1319,9.72,35.31,
P10275,AR,2.47041,1.31384,53542,68.44,248.64,Act
Q99757,TXN2,3.44092,1.31306,5822,46.37,168.46,
Q9Y232,CDYL,4.60705,1.3125,2136,7.7,27.97,
O75063,FAM20B,4.16165,1.31201,12068,32.63,118.55,
Q9H0U6,MRPL18,5.84483,1.30983,4033,47.89,173.99,
Q9UM54,MYO6,4.5001,1.30949,26312,48.91,177.69,
Q9UIL1,SCOC,4.19474,1.30911,7052,18.3,66.48,
Q96S55,WRNIP1,4.87726,1.30851,4056,17.08,62.05,
Q7Z7F7,MRPL55,5.03563,1.3084,1019,8.82,32.04,
Q29RF7,PDS5A,4.69667,1.30779,18803,25.16,91.41,
Q6P1L8,MRPL14,3.61678,1.30626,1749,29.78,108.19,
Q9NYK5,MRPL39,5.59553,1.30615,2260,30.78,111.82,
Q7Z412,PEX26,2.35028,1.30368,5012,4.08,14.82,
Q9UGM6,WARS2,3.52064,1.30236,1580,6.71,24.38,
Q9HD33,MRPL47,5.10906,1.3022,2737,32.62,118.51,
P40926,MDH2,10.6408,1.30154,29978,134.45,488.46,
Q969Q0,RPL36AL,5.69998,1.30073,5824,127.48,463.14,
O75439,PMPCB,6.31637,1.30045,12281,41.48,150.7,
Q99807,COQ7,3.70971,1.29872,3051,12.09,43.92,
Q9Y4B6,DCAF1,2.97191,1.29668,3607,8.6,31.24,
Q9BRJ6,C7orf50,5.42883,1.29625,2745,9.04,32.84,
Q9H4A4,RNPEP,5.17623,1.29485,10829,50.83,184.67,
P06576,ATP5F1B,10.6691,1.29341,140142,985.53,3580.44,
Q5ST30,VARS2,2.57366,1.29317,3727,7.2,26.16,
Q8IUR7,ARMC8,4.47406,1.29131,3021,5.01,18.2,
P53597,SUCLG1,6.52242,1.28827,8369,31.88,115.82,
Q96KB5,PBK,5.06135,1.2882,14012,105.68,383.94,
Q68E01,INTS3,2.63238,1.28696,8986,14.04,51.01,
Q6Y7W6,GIGYF2,4.2633,1.28641,9263,11.27,40.94,
Q96NB2,SFXN2,3.91668,1.28177,1600,3.25,11.81,
Q9Y6Q5,AP1M2,3.83702,1.28012,8063,59.47,216.06,
