dataset_id,id,model_id,gene_id,read_count,fpkm,tpm,data_source,dataset_name,model_name,symbol
15,97813079,SIDM00499,SIDG09198,1517,2.94,10.68,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FLYWCH1
15,97813081,SIDM00499,SIDG09201,836,10.0,36.33,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FLYWCH2
15,97813082,SIDM00499,SIDG09202,1547,16.58,60.24,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FMC1
15,97813083,SIDM00499,SIDG09203,42,0.03,0.11,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FMN1
15,97813084,SIDM00499,SIDG09204,1,0.0,0.0,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FMN2
15,97813085,SIDM00499,SIDG09205,691,1.49,5.41,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FMNL1
15,97813086,SIDM00499,SIDG09206,234,0.59,2.14,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FMNL2
15,97813087,SIDM00499,SIDG09207,398,0.48,1.74,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FMNL3
15,97813091,SIDM00499,SIDG09211,198,1.28,4.65,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FMO4
15,97813092,SIDM00499,SIDG09212,358,0.98,3.56,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FMO5
15,97813116,SIDM00499,SIDG09238,59,0.49,1.78,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FNDC4
15,97813117,SIDM00499,SIDG09239,80,0.42,1.53,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FNDC5
15,97813121,SIDM00499,SIDG09243,508,3.98,14.46,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FNDC10
15,97813122,SIDM00499,SIDG09244,22,0.1,0.36,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FNDC11
15,97813123,SIDM00499,SIDG09245,3429,7.05,25.61,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FNIP1
15,97813124,SIDM00499,SIDG09246,1401,2.11,7.67,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FNIP2
15,97813125,SIDM00499,SIDG09248,4404,7.53,27.36,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FNTA
15,97813127,SIDM00499,SIDG09251,938,3.88,14.1,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FNTB
15,97813128,SIDM00499,SIDG09254,5714,9.3,33.79,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FOCAD
15,97813130,SIDM00499,SIDG09256,6096,26.03,94.57,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FOLH1
