,source,target,Confidence Value,width
166,EFTUD2,ANLN,0.63,1
167,EFTUD2,BRD4,0.63,1
168,EFTUD2,KIF23,0.63,1
169,EFTUD2,PLEKHA4,0.63,1
170,EFTUD2,KIF14,0.63,1
171,EFTUD2,CIT,0.63,1
172,UFL1,EGFR,0.63,1
173,UFL1,DDRGK1,0.89,1
174,UFL1,HNRNPL,0.63,1
175,UFL1,ELAVL1,0.63,1
176,UFL1,PHB,0.63,1
177,UFL1,NPM1,0.63,1
178,UFL1,TOP1,0.63,1
179,UFL1,TRIM25,0.63,1
180,UFL1,XPO1,0.63,1
181,UFL1,NR2C2,0.63,1
182,UFL1,CDC42,0.63,1
183,UFL1,WDR5,0.73,1
184,UFL1,SNW1,0.63,1
185,UFL1,TRIM28,0.63,1
186,UFL1,BRD4,0.63,1
187,UFL1,PLEKHA4,0.63,1
188,VCP,CFTR,0.85,1
189,VCP,COPS5,0.87,1
190,VCP,SUMO2,0.74,1
191,VCP,SUMO1,0.79,1
192,VCP,CUL3,0.82,1
193,VCP,LMNA,0.63,1
194,VCP,ELAVL1,0.68,1
195,VCP,BAX,0.63,1
196,VCP,TRIM25,0.73,1
197,VCP,NPM1,0.63,1
198,VCP,TOP1,0.63,1
199,VCP,GRB2,0.72,1
200,VCP,PHB,0.63,1
201,VCP,CTNNB1,0.63,1
202,VCP,BTF3,0.63,1
203,VCP,PRC1,0.63,1
204,VCP,NAA40,0.63,1
205,VCP,WDR5,0.63,1
206,VCP,ANLN,0.63,1
207,VCP,BRD4,0.73,1
208,VCP,PLEKHA4,0.63,1
209,VCP,CDC42,0.63,1
210,VCP,KIF14,0.63,1
211,BTF3,CTNNB1,0.74,1
212,BTF3,NAA40,0.82,1
213,BTF3,TRIM28,0.63,1
214,BTF3,HNRNPL,0.63,1
215,BTF3,WDR5,0.63,1
216,BTF3,CIT,0.63,1
217,BTF3,ELAVL1,0.63,1
218,BTF3,CUX1,0.63,1
219,BTF3,BRD4,0.63,1
220,BTF3,NPM1,0.63,1
221,BTF3,LMNA,0.63,1
222,BTF3,TOP1,0.63,1
223,BTF3,TRIM25,0.63,1
224,BTF3,NR2C2,0.63,1
225,BTF3,CBFB,0.63,1
226,BTF3,CDC42,0.78,1
227,BTF3,HERC2,0.63,1
228,BTF3,DDRGK1,0.63,1
229,BTF3,PRC1,0.63,1
230,EGFR,GRB2,0.97,1
231,EGFR,CTNNB1,0.9,1
232,EGFR,USP8,0.76,1
233,EGFR,XPO1,0.63,1
234,EGFR,TOP1,0.72,1
235,EGFR,APEX1,0.82,1
236,EGFR,LMNA,0.82,1
237,EGFR,NPM1,0.72,1
238,EGFR,TRIM28,0.72,1
239,EGFR,HNRNPL,0.63,1
240,EGFR,SPEN,0.63,1
241,EGFR,CFTR,0.63,1
242,EGFR,HERC2,0.63,1
243,EGFR,ANLN,0.63,1
244,EGFR,BRD4,0.52,1
245,EGFR,CDC42,0.63,1
246,EGFR,KIF14,0.63,1
247,TOP1,SUMO1,0.94,1
248,TOP1,NPM1,0.75,1
249,TOP1,ELAVL1,0.75,1
250,TOP1,HNRNPL,0.68,1
251,TOP1,SUMO2,0.74,1
252,TOP1,CUL3,0.72,1
253,TOP1,SNW1,0.49,1
254,TOP1,COPS5,0.72,1
255,TOP1,TRIM25,0.63,1
256,TOP1,HERC2,0.63,1
257,TOP1,LMNA,0.63,1
258,TOP1,CFTR,0.63,1
259,TOP1,PRC1,0.63,1
260,TOP1,DDRGK1,0.63,1
261,TOP1,NAA40,0.63,1
262,TOP1,ANLN,0.63,1
263,TOP1,BRD4,0.74,1
264,TOP1,ZC3H18,0.63,1
265,TOP1,KIF23,0.63,1
266,TOP1,PLEKHA4,0.63,1
267,TOP1,KIF14,0.63,1
268,TOP1,TRIM28,0.63,1
269,TOP1,CIT,0.63,1
270,TOP1,PHB,0.63,1
271,TOP1,NR2C2,0.63,1
272,NPM1,XPO1,0.62,1
273,NPM1,GRB2,0.81,1
274,NPM1,SUMO2,0.79,1
275,NPM1,SUMO1,0.85,1
276,NPM1,RB1,0.79,1
277,NPM1,COPS5,0.72,1
278,NPM1,CUL3,0.72,1
279,NPM1,APEX1,0.75,1
280,NPM1,PHB,0.73,1
281,NPM1,TRIM28,0.76,1
282,NPM1,NXF1,0.82,1
283,NPM1,LMNA,0.63,1
284,NPM1,CTNNB1,0.63,1
285,NPM1,ZC3H18,0.72,1
286,NPM1,CFTR,0.78,1
287,NPM1,WDR5,0.63,1
288,NPM1,PRC1,0.63,1
289,NPM1,DDRGK1,0.73,1
290,NPM1,NAA40,0.63,1
291,NPM1,BRD4,0.63,1
292,NPM1,ANLN,0.63,1
293,NPM1,KIF23,0.63,1
294,NPM1,PLEKHA4,0.63,1
295,NPM1,KIF14,0.63,1
296,NPM1,CIT,0.63,1
297,NPM1,NR2C2,0.63,1
298,CUX1,RB1,0.76,1
299,CUX1,SUMO2,0.79,1
300,CUX1,HNRNPL,0.63,1
301,CUX1,TRIM25,0.63,1
302,CUX1,CTNNB1,0.63,1
303,CUX1,APEX1,0.63,1
304,CUX1,PLEKHA4,0.63,1
305,CUX1,CIT,0.63,1
306,PHB,RB1,0.9,1
307,PHB,XPO1,0.83,1
308,PHB,CUL3,0.82,1
309,PHB,LMNA,0.73,1
310,PHB,SUMO2,0.63,1
311,PHB,CFTR,0.85,1
312,PHB,GRB2,0.72,1
313,PHB,COPS5,0.63,1
314,PHB,PRC1,0.63,1
